Time,RAINRATE,Q2D,T2D,U2D,V2D,LWDOWN,SWDOWN,PSFC
2016-01-05 10:00:00,0.0,0.0012080354743886064,264.18752769277387,-0.9845005473976058,-10.755675589632743,234.8593476562632,0.0,102819.49970768101
2016-01-05 11:00:00,0.0,0.0011891004620169236,263.44135077978933,-1.1545091844549524,-11.131774210559097,234.2599060687789,0.0,102979.2265347425
2016-01-05 12:00:00,0.0,0.001139948486037942,263.3770623365185,-1.2500473383787782,-11.506042512246545,230.85633688661648,0.0,103078.1651390677
2016-01-05 13:00:00,0.0,0.0011713450509294764,263.52424246367434,-1.1655468043922175,-10.53015409009435,231.04182693568427,85.72174160974079,103269.55253914844
2016-01-05 14:00:00,0.0,0.001199804788914886,264.19832527954725,-1.0641332696346715,-9.551419996388228,232.70890930308784,188.1756900957173,103258.65373237555
2016-01-05 15:00:00,0.0,0.0012030111742300565,265.2341746318669,-0.9154994809146004,-8.57126586417435,206.8378458402403,334.9706405480584,103386.41761182784
2016-01-05 16:00:00,0.0,0.0011290175751188147,266.2369901122141,-0.8080676569198556,-8.16931602030567,207.16062920889786,420.1965307293912,103343.28649937198
2016-01-05 17:00:00,0.0,0.0012189779856685208,267.3084536392724,-0.7937945986495908,-7.758109767145754,209.60589334725188,434.84663390311766,103253.17776079095
2016-01-05 18:00:00,0.0,0.0013114193760897556,268.706482696056,-0.6820951053718185,-7.3564896496612375,201.66073346076845,415.29150991511926,103242.62672914463
2016-01-05 19:00:00,0.0,0.0011150264172651518,269.9930112974659,-0.39379459268912625,-5.969487825169818,201.771768017439,322.8918799572482,103267.83857762792
2016-01-05 20:00:00,0.0,0.0009769991335863864,270.83871216890583,-0.1631102824831604,-4.5760986835112325,200.95023457418267,210.48130416272727,103330.91919627019
2016-01-05 21:00:00,0.0,0.0010047884026181011,270.8416444801928,0.1305122657272658,-3.200000047683716,188.29598557423625,56.536970847136025,103359.51202355871
2016-01-05 22:00:00,0.0,0.0010251092209911247,270.80895582905936,0.5344532209397566,-3.181754235784951,187.61078856286872,0.0,103435.78840653565
2016-01-05 23:00:00,0.0,0.0010714796357749429,270.6558197910286,0.934453226900221,-3.1698932493782688,186.70116633269086,0.0,103472.10076725461
2016-01-06 00:00:00,0.0,0.001082324957862428,270.91977396012106,1.3344532328606855,-3.2220897540027136,188.56097068851824,0.0,103477.03215715724
2016-01-06 01:00:00,0.0,0.001181571748988497,270.52121290960133,1.536597272017962,-2.739501407022922,188.05443038351913,0.0,103487.19399048341
